freq	prev	p.freq	p.prev	p	contaminant
28119	4.36518243188689e-06	1	NA	NA	NA	FALSE
909656	0	0	NA	NA	NA	FALSE
821	0	0	NA	NA	NA	FALSE
2005520	0	0	NA	NA	NA	FALSE
294702	0	0	NA	NA	NA	FALSE
1642647	1.52781385116041e-05	1	NA	NA	NA	FALSE
171551	0	0	NA	NA	NA	FALSE
836	0	0	NA	NA	NA	FALSE
837	5.26140894993361e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
171552	0	0	NA	NA	NA	FALSE
838	3.55565669423485e-06	1	NA	NA	NA	FALSE
52227	0	0	NA	NA	NA	FALSE
28131	9.96467522632278e-06	1	NA	NA	NA	FALSE
28132	0	0	NA	NA	NA	FALSE
171550	2.10675247565181e-07	4	NA	0.733695423350596	0.733695423350596	FALSE
239759	8.15517612865642e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
1288121	2.18259121594344e-06	1	NA	NA	NA	FALSE
328814	0	0	NA	NA	NA	FALSE
2005525	0	0	NA	NA	NA	FALSE
195950	0	0	NA	NA	NA	FALSE
712710	3.55565669423485e-06	1	NA	NA	NA	FALSE
1970189	0	0	NA	NA	NA	FALSE
558415	0	0	NA	NA	NA	FALSE
1193324	0	0	NA	NA	NA	FALSE
889453	1.52939443430496e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
1853228	0	0	NA	NA	NA	FALSE
1853229	0	0	NA	NA	NA	FALSE
563835	0.000107599100742546	11	NA	0.935581659719591	0.935581659719591	FALSE
1769012	0	0	NA	NA	NA	FALSE
1850526	4.38098826333241e-06	1	NA	NA	NA	FALSE
79328	7.30942550797343e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
79329	8.94582672107454e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
398041	6.01151871408312e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
661481	9.23645320197051e-06	1	NA	NA	NA	FALSE
379899	0	0	NA	NA	NA	FALSE
446683	0	0	NA	NA	NA	FALSE
354354	0	0	NA	NA	NA	FALSE
354356	0	0	NA	NA	NA	FALSE
1874621	0	0	NA	NA	NA	FALSE
1813871	3.55565669423485e-06	1	NA	NA	NA	FALSE
1860196	0	0	NA	NA	NA	FALSE
661488	2.01929621698287e-05	4	NA	0.733695423350596	0.733695423350596	FALSE
1884792	1.08137721253209e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
768503	0	0	NA	NA	NA	FALSE
768507	5.66975627515118e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
1501348	0	0	NA	NA	NA	FALSE
273135	0	0	NA	NA	NA	FALSE
650378	4.38098826333241e-06	1	NA	NA	NA	FALSE
89373	7.6693419758006e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
978	0	0	NA	NA	NA	FALSE
985	0	0	NA	NA	NA	FALSE
107	3.52020539225062e-06	1	NA	NA	NA	FALSE
1211326	7.12404626830583e-06	1	NA	NA	NA	FALSE
108	0	0	NA	NA	NA	FALSE
564064	6.54777364783033e-06	1	NA	NA	NA	FALSE
200667	0	0	NA	NA	NA	FALSE
59739	0	0	NA	NA	NA	FALSE
1191459	3.55565669423485e-06	1	NA	NA	NA	FALSE
2762286	0	0	NA	NA	NA	FALSE
1433993	7.24939390704089e-05	7	NA	0.846006483937518	0.846006483937518	FALSE
1853232	2.43003030666677e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
89966	0.000138056765887105	14	NA	0.971264367816092	0.971264367816092	FALSE
1850093	2.45586201984828e-06	1	NA	NA	NA	FALSE
1411621	6.56357947927585e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
1446467	0	0	NA	NA	NA	FALSE
1356852	1.45002244368431e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1484116	3.55565669423485e-06	1	NA	NA	NA	FALSE
323449	0	0	NA	NA	NA	FALSE
388950	1.77846499110923e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
2896860	2.47611848961786e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
312278	0	0	NA	NA	NA	FALSE
312279	0	0	NA	NA	NA	FALSE
861914	0	0	NA	NA	NA	FALSE
651143	0	0	NA	NA	NA	FALSE
105	0	0	NA	NA	NA	FALSE
106	0	0	NA	NA	NA	FALSE
117743	0	0	NA	NA	NA	FALSE
200644	1.93873041508057e-05	10	NA	0.918403435644815	0.918403435644815	FALSE
1853230	0	0	NA	NA	NA	FALSE
332102	0	0	NA	NA	NA	FALSE
191579	0	0	NA	NA	NA	FALSE
49546	8.45314239446685e-05	15	NA	0.978927203065134	0.978927203065134	FALSE
237	0.000354238488178789	11	NA	0.935581659719591	0.935581659719591	FALSE
459526	1.02321914189713e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
996	0	0	NA	NA	NA	FALSE
1763534	6.15763546798034e-06	1	NA	NA	NA	FALSE
1492737	1.8053518846139e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
986	1.85604574815042e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
1617283	2.18259121594344e-06	1	NA	NA	NA	FALSE
96345	1.31822480760553e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1179672	8.05822489564322e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
527198	2.18259121594344e-06	1	NA	NA	NA	FALSE
1204360	0	0	NA	NA	NA	FALSE
762954	0	0	NA	NA	NA	FALSE
104267	0	0	NA	NA	NA	FALSE
1850252	4.36518243188689e-06	1	NA	NA	NA	FALSE
286104	0	0	NA	NA	NA	FALSE
754409	5.9367052235882e-06	1	NA	NA	NA	FALSE
1333713	0	0	NA	NA	NA	FALSE
267986	0	0	NA	NA	NA	FALSE
253245	0	0	NA	NA	NA	FALSE
2762318	2.92282862051469e-05	7	NA	0.846006483937518	0.846006483937518	FALSE
59732	2.99593868399248e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
250	1.74288901282766e-05	1	NA	NA	NA	FALSE
253	4.50747158489912e-06	1	NA	NA	NA	FALSE
2782231	0	0	NA	NA	NA	FALSE
421525	3.56202313415292e-06	1	NA	NA	NA	FALSE
266749	1.49470128394842e-05	1	NA	NA	NA	FALSE
501783	0	0	NA	NA	NA	FALSE
237258	1.1840794260655e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
308865	5.12598145356766e-05	5	NA	0.7763041556145	0.7763041556145	FALSE
1117645	4.14810745905767e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
172045	3.56202313415292e-06	1	NA	NA	NA	FALSE
117747	0	0	NA	NA	NA	FALSE
200666	0	0	NA	NA	NA	FALSE
84566	3.63399050101787e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
1773450	0	0	NA	NA	NA	FALSE
496056	6.01151871408312e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
423349	6.82104445173516e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
862126	2.18259121594344e-06	1	NA	NA	NA	FALSE
551996	2.45586201984828e-06	1	NA	NA	NA	FALSE
1550579	7.1113133884697e-06	1	NA	NA	NA	FALSE
1300914	2.45586201984828e-06	1	NA	NA	NA	FALSE
376469	2.45586201984828e-06	1	NA	NA	NA	FALSE
84567	2.81847781002326e-05	4	NA	0.733695423350596	0.733695423350596	FALSE
363852	1.93462499839538e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
430522	4.74936417887056e-06	1	NA	NA	NA	FALSE
1727164	1.89665545402913e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
28453	1.6821000542048e-05	4	NA	0.733695423350596	0.733695423350596	FALSE
371142	4.98233761316139e-06	1	NA	NA	NA	FALSE
259	5.30705239445815e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1933220	2.45675877745046e-05	2	NA	0.630541871921182	0.630541871921182	FALSE
1538644	4.98233761316139e-06	1	NA	NA	NA	FALSE
403776	8.56693543591164e-05	7	NA	0.846006483937518	0.846006483937518	FALSE
158884	4.63845323579172e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
1090	0	0	NA	NA	NA	FALSE
191410	0	0	NA	NA	NA	FALSE
191411	0	0	NA	NA	NA	FALSE
191412	4.49270598273772e-05	11	NA	0.935581659719591	0.935581659719591	FALSE
256319	4.02735684671608e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
274537	4.18126411558361e-05	8	NA	0.874005305039788	0.874005305039788	FALSE
274539	0	0	NA	NA	NA	FALSE
1097	0	0	NA	NA	NA	FALSE
1091	4.15615678068598e-05	6	NA	0.813586796345417	0.813586796345417	FALSE
337090	0	0	NA	NA	NA	FALSE
1099	0	0	NA	NA	NA	FALSE
1100	0	0	NA	NA	NA	FALSE
1101	1.02233191774662e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
1102	0	0	NA	NA	NA	FALSE
1868325	6.54777364783033e-06	1	NA	NA	NA	FALSE
1974213	3.07881773399017e-06	1	NA	NA	NA	FALSE
1134404	0	0	NA	NA	NA	FALSE
795747	0	0	NA	NA	NA	FALSE
795748	0	0	NA	NA	NA	FALSE
795749	0	0	NA	NA	NA	FALSE
795750	0	0	NA	NA	NA	FALSE
591197	0	0	NA	NA	NA	FALSE
1334117	0	0	NA	NA	NA	FALSE
1134403	0	0	NA	NA	NA	FALSE
1134405	5.86700898708437e-06	1	NA	NA	NA	FALSE
142182	0	0	NA	NA	NA	FALSE
219685	0	0	NA	NA	NA	FALSE
219686	0	0	NA	NA	NA	FALSE
219687	0.000167846936843662	14	NA	0.971264367816092	0.971264367816092	FALSE
173479	9.60931938875933e-05	14	NA	0.971264367816092	0.971264367816092	FALSE
173480	7.51093902548345e-08	1	NA	NA	NA	FALSE
1379270	0.000200308692949048	14	NA	0.971264367816092	0.971264367816092	FALSE
1706036	0	0	NA	NA	NA	FALSE
861299	0.00240017253538374	17	NA	0.98957938613111	0.98957938613111	FALSE
32066	0	0	NA	NA	NA	FALSE
203490	0	0	NA	NA	NA	FALSE
203491	0	0	NA	NA	NA	FALSE
203492	0	0	NA	NA	NA	FALSE
848	0	0	NA	NA	NA	FALSE
856	1.06669700827045e-05	1	NA	NA	NA	FALSE
1129771	0	0	NA	NA	NA	FALSE
34104	0	0	NA	NA	NA	FALSE
34105	0	0	NA	NA	NA	FALSE
40117	7.29243769273401e-06	7	NA	0.846006483937518	0.846006483937518	FALSE
203693	0	0	NA	NA	NA	FALSE
189778	0	0	NA	NA	NA	FALSE
189779	2.63491005841059e-05	9	NA	0.898004294556019	0.898004294556019	FALSE
179	5.45349982342545e-06	2	NA	0.630541871921182	0.630541871921182	FALSE
178606	0	0	NA	NA	NA	FALSE
1234	0.000508320585402567	16	NA	0.984948002189381	0.984948002189381	FALSE
463288	1.39281643342359e-05	3	NA	0.68527640941434	0.68527640941434	FALSE
876851	2.45586201984828e-06	1	NA	NA	NA	FALSE
330214	0.000173343811364901	16	NA	0.984948002189381	0.984948002189381	FALSE
1325564	0.000336341570195508	16	NA	0.984948002189381	0.984948002189381	FALSE
42253	0.000432589879768753	16	NA	0.984948002189381	0.984948002189381	FALSE
2811502	0	0	NA	NA	NA	FALSE
2811503	0	0	NA	NA	NA	FALSE
2811504	0	0	NA	NA	NA	FALSE
28261	0	0	NA	NA	NA	FALSE
28262	0	0	NA	NA	NA	FALSE
1224	0.0365344450097685	22	NA	0.863984674329502	0.863984674329502	FALSE
